ROI.name,feature,feature_label,feature_type,module,value_raw,value_z,mapping_note,key_gene
AdaxialMesophyll,CD2,CD2,gene,epidermal_identity,538.090576171875,0.09862669557332993,,False
AdaxialMesophyll,SVB,SVB,gene,epidermal_identity,25.369449615478516,-0.5955068469047546,,False
AdaxialMesophyll,WOOLLY,WOOLLY,gene,epidermal_identity,5.7683820724487305,-0.7323780655860901,,False
AdaxialMesophyll,WOX3b,WOX3b,gene,trichome_morphogenesis,0.8366069793701172,-0.3521651029586792,,False
AdaxialMesophyll,MX1 / MIXTA,MX1 / MIXTA,gene,trichome_morphogenesis,2.9419150352478027,-0.3073008358478546,,False
AdaxialMesophyll,MTR2 / CycB3,MTR2 / CycB3,gene,trichome_morphogenesis,7.725476264953613,-0.41122883558273315,,False
AdaxialMesophyll,MTR3,MTR3,gene,trichome_morphogenesis,15.50391674041748,-0.5848423838615417,,True
AdaxialMesophyll,HAIR,HAIR,gene,trichome_morphogenesis,0.0,-0.43447333574295044,,False
AdaxialMesophyll,Hairless,Hairless,gene,trichome_morphogenesis,32.34100341796875,-0.7730827331542969,,False
AdaxialMesophyll,Glandless,Glandless,gene,glandular_regulation,5.856436252593994,-0.4104826748371124,,False
AdaxialMesophyll,GCR1,GCR1,gene,glandular_regulation,1.2415364980697632,-0.32396581768989563,,False
AdaxialMesophyll,GCR2,GCR2,gene,glandular_regulation,1.225907802581787,-0.3181166350841522,,False
AdaxialMesophyll,TOE1B,TOE1B,gene,glandular_regulation,21.260093688964844,0.5762637853622437,,True
AdaxialMesophyll,LFS,LFS,gene,glandular_regulation,1.714218258857727,-0.45135611295700073,,False
AdaxialMesophyll,AACS1,AACS1,gene,typeIV_acylsugar_metabolism,0.0,-0.3180793523788452,,False
AdaxialMesophyll,AECH1,AECH1,gene,typeIV_acylsugar_metabolism,0.48839953541755676,-0.264480322599411,,False
AdaxialMesophyll,ABC Transporter,ABC Transporter,gene,typeIV_acylsugar_metabolism,1.292453408241272,0.0652727335691452,,True
AdaxialMesophyll,ASAT2,ASAT2,gene,typeIV_acylsugar_metabolism,0.0,-0.4413694143295288,,False
AdaxialMesophyll,ASH3,ASH3,gene,typeIV_acylsugar_metabolism,19.12024688720703,-0.21616588532924652,,True
AdaxialMesophyll,MCPI,MCPI,gene,typeVI_terpene_metabolism,35.65464401245117,-0.3708961308002472,,True
AdaxialMesophyll,EOT1,EOT1,gene,typeVI_terpene_metabolism,1.2679888010025024,-0.3161894381046295,,True
